微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ItB3GADIY,鱼小鱼smart,女,辽宁,441,52,鱼小鱼smart:大连市500人，沈阳市500人，锦州150人，辽宁省派出1000多人驰援武汉，这是掏空家底的支援啊，辽宁从来都是说的少做的多✊🏻💪🏻，疫情结束愿你们平安回家🙏🏻  [组图共2张] 原图 ,2020/2/10 21:59,2,0,0
ItB3Gkjy9,暗夜晨影,男,河南,345,144,暗夜晨影:每天逛微博都能刷新我的三观#外省支援湖北对口支援表##江苏医疗队行李丢失#  ,2020/2/10 21:59,7,0,0
ItB3G2G1d,April叶上初阳-琑,女,其他,667,158,April叶上初阳-琑:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 21:59,0,0,0
ItB3F7YzX,王利艳5376,女,湖南,145,38,王利艳5376:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 21:59,0,0,0
ItB3D7ERB,达斯维达你呀,女,湖北,394,285,达斯维达你呀:妈耶，看了江苏十三太保和汶川村民还有各地支援武汉的视频感动的泪流满面，一方有难八方支援，作为湖北人第一次感受到祖国的强大民族的团结，感谢🙏你们，中国加油湖北加油武汉加油🌍  ,2020/2/10 21:59,2,2,1
ItB3BBUHn,Yusuf03,男,宁夏,23,85,Yusuf03:宁夏20辆550吨货物支援武汉，从宁夏固原市出发，为武汉加油。 Yusuf03的微博视频  ,2020/2/10 21:59,0,0,0
ItB3BBUHn,Yusuf03,男,宁夏,23,85,Yusuf03:宁夏20辆550吨货物支援武汉，从宁夏固原市出发，为武汉加油。 Yusuf03的微博视频  ,2020/2/10 21:59,0,0,0
ItB3BkUxP,蓝牙密探古GE39263,男,广东,116,4,蓝牙密探古GE39263:转发：国家卫计委召开的新闻发布会上还透露，目前中央与省市已经建立了16个省支援武汉以外地市对口支援关系，对点帮扶。湖北下辖1个副省级城市（武汉）、11个地级市、1个自治州、3个省直管县级市、1个林区。除武汉之外，刚好16个市/自治州/林区。武汉加油，湖北加油，中国加油，抗疫必胜！ http://t.cn/RD4C3n3 显示地图 原图 ,2020/2/10 21:59,0,0,0
ItB3zwxNy,橙鱼落砚去,女,其他,189,108,橙鱼落砚去:#外省支援湖北对口支援表#搞不懂为什么之前都说江苏援助孝感，今晚突然又说援助黄石？物资没发错地方吧  ,2020/2/10 21:59,6,0,6
ItB3yBS1u,ZH就是ZH,男,其他,22,5,ZH就是ZH:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 21:59,0,0,0
ItB3wBkqJ,福州专业祛痘苗方清颜,女,福建,1447,5376,福州专业祛痘苗方清颜:#福州苗方清颜[超话]#最想说的就是医护人员太伟大了，太不容易了！2月9日下午，苗方清颜联合柯尔医疗捐赠的200台CR-F3W医用制氧机搭载专车从苏州出发，星夜兼程，于10日上午9时顺利抵达武汉。已委托卓尔公益基金会送往武汉方舱医院，增援医院临床用氧保障。苗方清颜人用实际行动支援湖北，支援武汉！希望疫情快点结束🙏大家都平安归来！ [组图共3张] 原图 ,2020/2/10 21:59,2,1,0
ItB3wiYt2,民工兄弟网,男,江苏,1549,631,民工兄弟网:《正式超越马云！中国新首富诞生，低调坐拥3150亿，捐3亿支援武汉》而“前首富”马云目前的身价为443亿美元，位居第二。http://t.cn/A6h7QCc6  原图 ,2020/2/10 21:59,0,0,0
ItB3w1kkN,生如夏花chloe,女,四川,603,936,生如夏花chloe:还是得有钱才行。我看了一下wjw给江沪发达城市三甲医院下达的文件。要求支援人员要自带呼吸机过去，苏州、无锡这种非省会城市的无创呼吸机得带十多台过去。更高级的自带ecmo。一台无创呼吸机大概十多万，一台有创呼吸机二十多万，一台ecmo……不说了希望国家以后不要只想搞基建这种门面工作，也要多给医疗投点钱。关键时刻可以救命啊！ ,2020/2/10 21:59,2,0,2
ItB3v65r1,湛溱,男,其他,184,162,湛溱:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 21:59,0,0,0
ItB3uwcT4,我想见你Z,女,其他,289,331,我想见你Z:这tm一天天都什么事啊？人家好心支援你，你就这么不做人！  ,2020/2/10 21:59,0,0,0
ItB3uwaUY,用户7358049537,女,其他,20,2,用户7358049537:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 21:59,0,0,0
ItB3ufetr,GiGenSei,男,辽宁,258,501,GiGenSei:#外省支援湖北对口支援表#三流企业没口罩二流企业买口罩一流企业捐口罩超级企业造口罩  ,2020/2/10 21:59,1,0,3
